opening_id,engine_seed,months,death_turn,surface,root_cause,doom_final,cash_m6,publish_paper,safety_research,capability_research,buy_compute,fundraise_small,fundraise_big,take_loan,apply_grant,network,audit_safety,order_supplies,team_building,media_campaign,desperation_lever,funding_strings,hire_safety_researcher,hire_capability_researcher
57,sweep-00,6,134,doom,ledger,100.0,-3827,3,5,2,5,2,1,0,2,1,2,1,0,2,2,3,2,3
57,sweep-01,20,444,doom,ledger,100.0,200390,3,5,2,5,2,1,0,2,1,2,1,0,2,2,3,2,3
57,sweep-02,9,214,doom,doom,100.0,120187,3,5,2,5,2,1,0,2,1,2,1,0,2,2,3,2,3
58,sweep-00,8,177,doom,ledger,100.0,7407,4,2,2,2,0,2,1,2,2,2,0,2,3,3,3,1,5
58,sweep-01,7,165,doom,ledger,100.0,144072,4,2,2,2,0,2,1,2,2,2,0,2,3,3,3,1,5
58,sweep-02,14,305,doom,doom,100.0,74334,4,2,2,2,0,2,1,2,2,2,0,2,3,3,3,1,5
59,sweep-00,10,217,doom,ledger,100.0,-7746,4,3,2,4,1,4,1,1,0,1,2,3,1,4,2,2,1
59,sweep-01,22,493,doom,ledger,100.0,73534,4,3,2,4,1,4,1,1,0,1,2,3,1,4,2,2,1
59,sweep-02,10,232,doom,doom,100.0,5719,4,3,2,4,1,4,1,1,0,1,2,3,1,4,2,2,1
60,sweep-00,9,208,doom,ledger,100.0,6620,3,2,0,1,0,1,2,1,2,1,1,3,2,4,5,3,5
60,sweep-01,10,237,doom,doom,100.0,144306,3,2,0,1,0,1,2,1,2,1,1,3,2,4,5,3,5
60,sweep-02,10,216,doom,doom,100.0,102468,3,2,0,1,0,1,2,1,2,1,1,3,2,4,5,3,5
61,sweep-00,12,273,doom,doom,100.0,326829,0,3,1,3,1,3,1,3,4,0,2,2,2,4,2,1,4
61,sweep-01,6,135,doom,doom,100.0,358185,0,3,1,3,1,3,1,3,4,0,2,2,2,4,2,1,4
61,sweep-02,11,253,doom,doom,100.0,415651,0,3,1,3,1,3,1,3,4,0,2,2,2,4,2,1,4
62,sweep-00,8,194,doom,doom,100.0,60294,1,2,2,1,4,3,1,5,0,2,1,3,2,3,1,3,2
62,sweep-01,17,383,doom,ledger,100.0,59211,1,2,2,1,4,3,1,5,0,2,1,3,2,3,1,3,2
62,sweep-02,6,140,doom,ledger,100.0,-6031,1,2,2,1,4,3,1,5,0,2,1,3,2,3,1,3,2
63,sweep-00,9,204,doom,doom,100.0,-8366,4,3,1,0,3,0,3,2,4,4,2,2,0,4,1,0,3
63,sweep-01,6,140,doom,ledger,100.0,-2067,4,3,1,0,3,0,3,2,4,4,2,2,0,4,1,0,3
63,sweep-02,6,140,doom,ledger,100.0,-1890,4,3,1,0,3,0,3,2,4,4,2,2,0,4,1,0,3
64,sweep-00,10,226,doom,doom,100.0,179420,3,1,4,3,1,2,1,1,4,1,2,2,4,2,2,2,1
64,sweep-01,18,410,doom,ledger,100.0,162750,3,1,4,3,1,2,1,1,4,1,2,2,4,2,2,2,1
64,sweep-02,7,163,doom,ledger,100.0,40498,3,1,4,3,1,2,1,1,4,1,2,2,4,2,2,2,1
65,sweep-00,15,325,doom,doom,100.0,74284,3,1,0,2,4,1,3,7,1,2,4,0,2,0,2,2,2
65,sweep-01,23,516,doom,doom,100.0,60150,3,1,0,2,4,1,3,7,1,2,4,0,2,0,2,2,2
65,sweep-02,16,365,doom,doom,100.0,134754,3,1,0,2,4,1,3,7,1,2,4,0,2,0,2,2,2
66,sweep-00,15,346,doom,doom,100.0,286510,3,1,2,2,2,4,1,5,2,0,1,2,1,1,4,3,2
66,sweep-01,19,425,doom,doom,100.0,332595,3,1,2,2,2,4,1,5,2,0,1,2,1,1,4,3,2
66,sweep-02,17,374,doom,doom,100.0,475587,3,1,2,2,2,4,1,5,2,0,1,2,1,1,4,3,2
67,sweep-00,13,303,doom,ledger,100.0,218948,1,2,3,1,4,1,0,3,1,2,5,1,1,4,1,3,3
67,sweep-01,19,420,doom,doom,100.0,263367,1,2,3,1,4,1,0,3,1,2,5,1,1,4,1,3,3
67,sweep-02,14,310,doom,doom,100.0,229575,1,2,3,1,4,1,0,3,1,2,5,1,1,4,1,3,3
68,sweep-00,6,141,doom,ledger,100.0,363101,2,6,2,4,0,3,5,0,3,1,1,2,1,1,2,2,1
68,sweep-01,11,245,doom,doom,100.0,140763,2,6,2,4,0,3,5,0,3,1,1,2,1,1,2,2,1
68,sweep-02,6,151,doom,ledger,100.0,180739,2,6,2,4,0,3,5,0,3,1,1,2,1,1,2,2,1
69,sweep-00,12,279,doom,doom,100.0,-10762,2,0,1,3,0,2,2,4,2,3,3,2,2,0,8,1,1
69,sweep-01,6,140,doom,ledger,100.0,-2067,2,0,1,3,0,2,2,4,2,3,3,2,2,0,8,1,1
69,sweep-02,13,286,doom,doom,100.0,24290,2,0,1,3,0,2,2,4,2,3,3,2,2,0,8,1,1
70,sweep-00,25,556,doom,doom,100.0,11009,0,2,6,3,1,3,1,4,0,1,1,4,3,3,2,2,0
70,sweep-01,30,652,none,none,19.8,21893,0,2,6,3,1,3,1,4,0,1,1,4,3,3,2,2,0
70,sweep-02,30,652,none,none,99.0,-2349,0,2,6,3,1,3,1,4,0,1,1,4,3,3,2,2,0
71,sweep-00,16,366,doom,ledger,100.0,189462,2,0,5,1,2,5,2,2,3,0,2,5,2,3,1,1,0
